District,City,Country,Continent,locality
NaN,NaN,Malaysia,Asia,Malaysia
NaN,Edmonton,Canada,North America,"Edmonton, Canada"
Cervia,Milano Marittima,Italy,Europe,Milano Marittima...
Derbyshire,Derby,United Kingdom of Great Britain and Northern Ireland,Europe,"Derbyshire, England"
Unknown,Bangkok,Thailand,Asia,"Bangkok, Thailand"
Mumbai City,Mumbai,India,Asia,"Mumbai, India"
Hyderabad,Hyderabad,India,Asia,"Hyderabad, India"
Bega Valley Shire,Bermagui,Australia,Australia,"Bermagui, Australia"
Greater London,London,United Kingdom of Great Britain and Northern Ireland,Europe,Greater London...
San Diego County,Encinitas,United States of America,North America,Cardiff-by-the-Sea...
NaN,Dubai,United Arab Emirates,Asia,"Dubai, United Arab..."
Clark County,Las Vegas,United States of America,North America,"Las Vegas, Nevada"
NaN,NaN,Singapore,Asia,Sentosa Island...
Kiruna Municipality,Kiruna,Sweden,Europe,"Kiruna, Sweden"
Rossendale,Bacup,United Kingdom of Great Britain and Northern Ireland,Europe,"Bacup, United..."
NaN,NaN,United States of America,North America,new jersey
Unknown,Vienna,Austria,Europe,"Vienna, Austria"
Greater London,London,United Kingdom of Great Britain and Northern Ireland,Europe,London UK
Palm Beach County,Boynton Beach,United States of America,North America,Boynton Beach...
City of Perth,Perth,Australia,Australia,"Perth, Australia"
City of Melbourne,Melbourne,Australia,Australia,"Melbourne, Australia"
NaN,Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,"Bristol, United..."
Pinellas County,Clearwater,United States of America,North America,"Clearwater, Florida"
Whangarei District,Whangārei,New Zealand,Australia,"Whangarei, New..."
NaN,NaN,Australia,Australia,Queensland...
NaN,NaN,Singapore,Asia,Singapore
Harris County,Houston,United States of America,North America,"Houston, Texas"
NaN,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,England
NaN,NaN,China,Asia,China
NaN,NaN,Australia,Australia,Greater Sydney...
Los Angeles County,Monterey Park,United States of America,North America,Monterey Park...
Futian District,Shenzhen,China,Asia,"Shenzhen, China"
Unknown,Beijing,China,Asia,"Beijing, China"
NaN,NaN,Philippines,Asia,Philippines
Orange,Chapel Hill,United States of America,North America,"Chapel Hill, North..."
NaN,NaN,Philippines,Asia,"Luzon, Philippines"
Alameda County,Berkeley,United States of America,North America,"Berkeley, California"
NaN,Vancouver,Canada,North America,"Vancouver, Canada"
1st and 2nd district,Makati City,Philippines,Asia,makati
NaN,Thessaloniki,Greece,Europe,Thessaloniki...
NaN,NaN,Georgia,Europe,Georgia
Central District,Lod,Israel,Asia,TLV
NaN,NaN,Singapore,Asia,S'pore
Antalya,Antalya,Türkiye,Asia,"Antalya, Turkiye"
Staffordshire,Stafford,United Kingdom of Great Britain and Northern Ireland,Europe,"Stafford, United..."
Shropshire,Bridgnorth,United Kingdom of Great Britain and Northern Ireland,Europe,"Bridgnorth, United..."
NaN,Budapest,Hungary,Europe,"Budapest, Hungary"
NaN,Barcelona,Spain,Europe,Barcelona
NaN,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,uk
County Dublin,Dublin,Ireland,Europe,"Dublin, Ireland"
Honolulu County,Honolulu,United States of America,North America,"Honolulu, Hawaii"
Middlesex County,Andover,United States of America,North America,"Andover, United..."
Bankstown,Canterbury-Bankstown,Australia,Australia,"Bankstown, Australia"
NaN,Buenos Aires,Argentina,South America,Buenos Aires...
Palm Beach County,Palm Beach,United States of America,North America,Palm Beach...
Fairfax County,NaN,United States of America,North America,Fairfax County...
San Francisco County,San Francisco,United States of America,North America,San Francisco
Kulai,Kulai,Malaysia,Asia,"Kulai, Malaysia"
NaN,Hamburg,Germany,Europe,"Hamburg, Germany"
NaN,NaN,Germany,Europe,Germany
1st and 2nd district,Makati,Philippines,Asia,"Makati, Philippines"
NaN,Adelaide,Australia,Australia,Adelaide
NaN,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Ireland
San Mateo County,San Mateo,United States of America,North America,San Mateo...
Thane district,Navi Mumbai,India,Asia,"Navi Mumbai, India"
Unknown,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,"North Wales, United..."
Memphrémagog Regional County Municipality,Austin,Canada,North America,"Austin, Canada"
Denver,Denver,United States of America,North America,"Denver, Colorado"
NaN,Jeddah,Saudi Arabia,Asia,"Jeddah, Saudi Arabia"
Capital Governorate,Kuwait City,Kuwait,Asia,"Kuwait City, Kuwait"
Metropolitan City of Milan,Milan,Italy,Europe,"Milan, Italy"
New Forest,Ringwood,United Kingdom of Great Britain and Northern Ireland,Europe,"Ringwood, United..."
NaN,Wellington,New Zealand,Australia,"Wellington, New..."
York Region,Whitchurch-Stouffville,Canada,North America,Whitchurch-Stouffvil...
Legian,NaN,Indonesia,Asia,"Legian, Indonesia"
Riyadh Governorate,Riyadh,Saudi Arabia,Asia,"Riyadh, Saudi Arabia"
Milton Keynes,Milton Keynes,United Kingdom of Great Britain and Northern Ireland,Europe,Milton Keynes...
NaN,Kuala Lumpur,Unknown,Asia,kl
Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,"Cardiff, United..."
Watford,Watford,United Kingdom of Great Britain and Northern Ireland,Europe,"Watford, UK"
NaN,NaN,Australia,Australia,Australia
West Midlands,Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,"Birmingham, United..."
NaN,Stockholm,Sweden,Europe,"Stockholm, Sweden"
NaN,Florence,Italy,Europe,"Florence, Italy"
Cobb County,NaN,United States of America,North America,"Cobb, Georgia"
Dane County,Madison,United States of America,North America,"Madison, Wisconsin"
Unknown,Amsterdam,Netherlands,Europe,"Amsterdam, The..."
Madurai,Madurai,India,Asia,"Madurai, India"
Watford,Watford,United Kingdom of Great Britain and Northern Ireland,Europe,"Watford, United..."
Cumberland County,Portland,United States of America,North America,"Portland, Maine"
NaN,Regina,Canada,North America,"Regina, Canada"
Suffolk,Stowmarket,United Kingdom of Great Britain and Northern Ireland,Europe,"Stowmarket, United..."
NaN,Auckland,New Zealand,Australia,"Auckland, New..."
Colleton County,Walterboro,United States of America,North America,"Walterboro, South..."
Indore,Indore,India,Asia,"Indore, India"
NaN,Adelaide,Australia,Australia,Greater Adelaide...
Broward County,Fort Lauderdale,United States of America,North America,Fort Lauderdale...
Perth and Kinross,Auchterarder,United Kingdom of Great Britain and Northern Ireland,Europe,Auchterarder...
City of Greater Geelong,Lara,Australia,Australia,"Lara, Australia"
Tauranga City,Tauranga,New Zealand,Australia,"Tauranga, New..."
Thrissur,Thrissur,India,Asia,"Thrissur, India"
Henderson County,Flat Rock,United States of America,North America,"Flat Rock, North..."
London Borough of Richmond upon Thames,London,United Kingdom of Great Britain and Northern Ireland,Europe,"Twickenham, United..."
North Somerset,Weston-super-Mare,United Kingdom of Great Britain and Northern Ireland,Europe,Weston super Mare...
West Sussex,Worthing,United Kingdom of Great Britain and Northern Ireland,Europe,"Worthing, United..."
Unknown,Unknown,China,Asia,Greater...
City of Canada Bay,Sydney,Australia,Australia,"Drummoyne, Australia"
Teller County,NaN,United States of America,North America,"Divide, Colorado"
Leicestershire,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,"Leicester, United..."
Nottinghamshire,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,"Nottingham, United..."
DuPage County,Downers Grove,United States of America,North America,"Downers Grove, IL"
NaN,Manila,Philippines,Asia,Manila
Royal Borough of Windsor and Maidenhead,Windsor,United Kingdom of Great Britain and Northern Ireland,Europe,Windsor and...
NaN,NaN,United States of America,North America,San Francisco Bay...
Montgomery County,Dayton,United States of America,North America,"Dayton, Ohio"
Westchester County,Ardsley,United States of America,North America,"Ardsley, New York"
NaN,Macau,China,Asia,"Macau, China"
NaN,Hanoi,Viet Nam,Asia,"Hanoi, Vietnam"
Philadelphia County,Philadelphia,United States of America,North America,Philadelphia...
Kent,Ashford,United Kingdom of Great Britain and Northern Ireland,Europe,"Ashford, United..."
City of Gold Coast,Gold Coast,Australia,Australia,Gold Coast...
City of Cape Town,Cape Town,South Africa,Africa,cape town
Bengaluru Urban,Bengaluru,India,Asia,bangalore
Wirral,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,Wirral
NaN,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,"Wales, United..."
NaN,Hong Kong,China,Asia,Hong Kong
Kolkata,Kolkata,India,Asia,Kolkata (Calcutta...
Keningau District,Keningau,Malaysia,Asia,"Keningau, Malaysia"
Unknown,New York City,United States of America,North America,new york
NaN,NaN,Malaysia,Asia,Sabah
Nashik,Nashik,India,Asia,"Nashik, India"
NaN,George Town,Malaysia,Asia,"Penang, Malaysia"
New Delhi,New Delhi,India,Asia,"New Delhi, India"
Loudoun County,Ashburn,United States of America,North America,"Ashburn, Virginia"
NaN,Reggio Emilia,Italy,Europe,"Reggio Emilia, Italy"
Tirunelveli,Tirunelveli,India,Asia,"Tirunelveli, India"
NaN,Helsinki,Finland,Europe,"Helsinki, Finland"
Unknown,Unknown,China,Asia,ok
City of London,London,United Kingdom of Great Britain and Northern Ireland,Europe,London
City of Peterborough,Peterborough,United Kingdom of Great Britain and Northern Ireland,Europe,Peterborough...
NaN,Volgograd,Russian Federation,Europe,"Volgograd, Russia"
NaN,NaN,Unknown,Europe,Europe
Unknown,Unknown,Unknown,Unknown,jtang
Milwaukee County,Milwaukee,United States of America,North America,"milwaukee, WI"
NaN,Melbourne,Australia,Australia,Melbourne
Bengaluru Urban,Bengaluru,India,Asia,Bangalore District...
NaN,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,england
Fayette County,Lexington,United States of America,North America,Lexington...
NaN,NaN,Malta,Europe,"Malta, Europe"
Gwynedd,Criccieth,United Kingdom of Great Britain and Northern Ireland,Europe,"Criccieth, United..."
San Diego County,San Diego,United States of America,North America,San Diego...
Perth and Kinross,Perth,United Kingdom of Great Britain and Northern Ireland,Europe,Perth and Kinross...
Cambridgeshire,Cambridge,United Kingdom of Great Britain and Northern Ireland,Europe,"Cambridge, United..."
NaN,NaN,United States of America,North America,Massachusetts
Santa Clara County,Los Gatos,United States of America,North America,"Los Gatos, CA"
Osijek-Baranja County,Čepin,Croatia,Europe,"Cepin, Croatia"
South Staffordshire,Stretton,United Kingdom of Great Britain and Northern Ireland,Europe,"Stretton, United..."
Abu Dhabi Central Capital District,Abu Dhabi,United Arab Emirates,Asia,"Abu Dhabi, United..."
Buckinghamshire,Marlow,United Kingdom of Great Britain and Northern Ireland,Europe,"Marlow, United..."
Cheshire,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,"Cheshire, United..."
NaN,Quezon City,Philippines,Asia,Quezon City...
Howard County,Columbia,United States of America,North America,"Columbia, Maryland"
Santa Cruz County,Watsonville,United States of America,North America,Watsonville...
NaN,NaN,Singapore,Asia,singapore
Cheshire West and Chester,Chester,United Kingdom of Great Britain and Northern Ireland,Europe,"Chester, United..."
Kinta,Ipoh,Malaysia,Asia,"Ipoh, Malaysia"
Hertfordshire,NaN,United Kingdom of Great Britain and Northern Ireland,Europe,Hertfordshire...
NaN,Canberra,Australia,Australia,"Canberra, Australia"
Cook County,Chicago,United States of America,North America,Chicago
Brașov County,Brașov,Romania,Europe,"Brasov, Romania"
Hampden County,Springfield,United States of America,North America,Springfield...
Newcastle upon Tyne,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,newcastle upon tyne
Gwinnett County,Suwanee,United States of America,North America,"Suwanee, Georgia"
Lehigh County,Allentown,United States of America,North America,Allentown...
Shire of Mount Alexander,Maldon,Australia,Australia,"Maldon, Australia"
Worthing Borough,Worthing,United Kingdom of Great Britain and Northern Ireland,Europe,Worthing
Miami-Dade County,Miami Beach,United States of America,North America,"Miami Beach, Florida"
Cumberland County,Brunswick,United States of America,North America,"Brunswick, Maine"
Dallas County,Dallas,United States of America,North America,"Dallas, Texas"
Pune district,Pune,India,Asia,"Pune, India"
NaN,NaN,New Zealand,Australia,nz
NaN,NaN,Russian Federation,Europe,Moscow Oblast...
Lancashire,Chorley,United Kingdom of Great Britain and Northern Ireland,Europe,"Chorley, United..."
NaN,NaN,Netherlands,Europe,Holland
Sermersooq,Ittoqqortoormiit,Denmark,North America,Ittoqqortoormiit...
NaN,Skopje,North Macedonia,Europe,"Skopje, Republic of..."
Alameda County,Fremont,United States of America,North America,"Fremont, California"
Agra,Agra,India,Asia,"Agra, India"
Maui County,NaN,United States of America,North America,"Kihei, Hawaii"
Royal Borough of Kingston upon Thames,London,United Kingdom of Great Britain and Northern Ireland,Europe,"Surbiton, United..."
