District,City,Country,Continent,locality
,,Philippines,Asia,Philippines
Orange,Chapel Hill,United States of America,North America,"Chapel Hill, North..."
,,Philippines,Asia,"Luzon, Philippines"
Alameda County,Berkeley,United States of America,North America,"Berkeley, California"
,Vancouver,Canada,North America,"Vancouver, Canada"
1st and 2nd district,Makati City,Philippines,Asia,makati
,Thessaloniki,Greece,Europe,Thessaloniki...
,,Georgia,Europe,Georgia
Central District,Lod,Israel,Asia,TLV
,,Singapore,Asia,S'pore
Antalya,Antalya,Türkiye,Asia,"Antalya, Turkiye"
Staffordshire,Stafford,United Kingdom of Great Britain and Northern Ireland,Europe,"Stafford, United..."
Shropshire,Bridgnorth,United Kingdom of Great Britain and Northern Ireland,Europe,"Bridgnorth, United..."
,Budapest,Hungary,Europe,"Budapest, Hungary"
,Barcelona,Spain,Europe,Barcelona
,,United Kingdom of Great Britain and Northern Ireland,Europe,uk
County Dublin,Dublin,Ireland,Europe,"Dublin, Ireland"
Honolulu County,Honolulu,United States of America,North America,"Honolulu, Hawaii"
Middlesex County,Andover,United States of America,North America,"Andover, United..."
Bankstown,Canterbury-Bankstown,Australia,Australia,"Bankstown, Australia"
,Buenos Aires,Argentina,South America,Buenos Aires...
Palm Beach County,Palm Beach,United States of America,North America,Palm Beach...
Fairfax County,,United States of America,North America,Fairfax County...
San Francisco County,San Francisco,United States of America,North America,San Francisco
Kulai,Kulai,Malaysia,Asia,"Kulai, Malaysia"
,Hamburg,Germany,Europe,"Hamburg, Germany"
,,Germany,Europe,Germany
1st and 2nd district,Makati,Philippines,Asia,"Makati, Philippines"
,Adelaide,Australia,Australia,Adelaide
,,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Ireland
San Mateo County,San Mateo,United States of America,North America,San Mateo...
Thane district,Navi Mumbai,India,Asia,"Navi Mumbai, India"
Unknown,,United Kingdom of Great Britain and Northern Ireland,Europe,"North Wales, United..."
Memphrémagog Regional County Municipality,Austin,Canada,North America,"Austin, Canada"
Denver,Denver,United States of America,North America,"Denver, Colorado"
,Jeddah,Saudi Arabia,Asia,"Jeddah, Saudi Arabia"
Capital Governorate,Kuwait City,Kuwait,Asia,"Kuwait City, Kuwait"
Metropolitan City of Milan,Milan,Italy,Europe,"Milan, Italy"
New Forest,Ringwood,United Kingdom of Great Britain and Northern Ireland,Europe,"Ringwood, United..."
,Wellington,New Zealand,Australia,"Wellington, New..."
York Region,Whitchurch-Stouffville,Canada,North America,Whitchurch-Stouffvil...
Legian,,Indonesia,Asia,"Legian, Indonesia"
Riyadh Governorate,Riyadh,Saudi Arabia,Asia,"Riyadh, Saudi Arabia"
Milton Keynes,Milton Keynes,United Kingdom of Great Britain and Northern Ireland,Europe,Milton Keynes...
,Kuala Lumpur,Malaysia,Asia,kl
Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,"Cardiff, United..."
Watford,Watford,United Kingdom of Great Britain and Northern Ireland,Europe,"Watford, UK"
,,Australia,Australia,Australia
West Midlands,Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,"Birmingham, United..."
,Stockholm,Sweden,Europe,"Stockholm, Sweden"
,Florence,Italy,Europe,"Florence, Italy"
Cobb County,,United States of America,North America,"Cobb, Georgia"
Dane County,Madison,United States of America,North America,"Madison, Wisconsin"
Unknown,Amsterdam,Netherlands,Europe,"Amsterdam, The..."
Madurai,Madurai,India,Asia,"Madurai, India"
Watford,Watford,United Kingdom of Great Britain and Northern Ireland,Europe,"Watford, United..."
Cumberland County,Portland,United States of America,North America,"Portland, Maine"
,Regina,Canada,North America,"Regina, Canada"
Suffolk,Stowmarket,United Kingdom of Great Britain and Northern Ireland,Europe,"Stowmarket, United..."
,Auckland,New Zealand,Australia,"Auckland, New..."
Colleton County,Walterboro,United States of America,North America,"Walterboro, South..."
Indore,Indore,India,Asia,"Indore, India"
,Adelaide,Australia,Australia,Greater Adelaide...
Broward County,Fort Lauderdale,United States of America,North America,Fort Lauderdale...
Perth and Kinross,Auchterarder,United Kingdom of Great Britain and Northern Ireland,Europe,Auchterarder...
City of Greater Geelong,Lara,Australia,Australia,"Lara, Australia"
Tauranga City,Tauranga,New Zealand,Australia,"Tauranga, New..."
Thrissur,Thrissur,India,Asia,"Thrissur, India"
Henderson County,Flat Rock,United States of America,North America,"Flat Rock, North..."
London Borough of Richmond upon Thames,London,United Kingdom of Great Britain and Northern Ireland,Europe,"Twickenham, United..."
North Somerset,Weston-super-Mare,United Kingdom of Great Britain and Northern Ireland,Europe,Weston super Mare...
West Sussex,Worthing,United Kingdom of Great Britain and Northern Ireland,Europe,"Worthing, United..."
Unknown,Unknown,China,Asia,Greater...
City of Canada Bay,Sydney,Australia,Australia,"Drummoyne, Australia"
Teller County,,United States of America,North America,"Divide, Colorado"
Leicestershire,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,"Leicester, United..."
Nottinghamshire,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,"Nottingham, United..."
DuPage County,Downers Grove,United States of America,North America,"Downers Grove, IL"
,Manila,Philippines,Asia,Manila
Royal Borough of Windsor and Maidenhead,Windsor,United Kingdom of Great Britain and Northern Ireland,Europe,Windsor and...
,,United States of America,North America,San Francisco Bay...
Montgomery County,Dayton,United States of America,North America,"Dayton, Ohio"
Westchester County,Ardsley,United States of America,North America,"Ardsley, New York"
,Macau,China,Asia,"Macau, China"
,Hanoi,Viet Nam,Asia,"Hanoi, Vietnam"
Philadelphia County,Philadelphia,United States of America,North America,Philadelphia...
Kent,Ashford,United Kingdom of Great Britain and Northern Ireland,Europe,"Ashford, United..."
City of Gold Coast,Gold Coast,Australia,Australia,Gold Coast...
City of Cape Town,Cape Town,South Africa,Africa,cape town
Bengaluru Urban,Bengaluru,India,Asia,bangalore
Wirral,,United Kingdom of Great Britain and Northern Ireland,Europe,Wirral
,,United Kingdom of Great Britain and Northern Ireland,Europe,"Wales, United..."
,Hong Kong,China,Asia,Hong Kong
Kolkata,Kolkata,India,Asia,Kolkata (Calcutta...
Keningau District,Keningau,Malaysia,Asia,"Keningau, Malaysia"
Unknown,New York City,United States of America,North America,new york
,,Malaysia,Asia,Sabah
Nashik,Nashik,India,Asia,"Nashik, India"
,George Town,Malaysia,Asia,"Penang, Malaysia"
New Delhi,New Delhi,India,Asia,"New Delhi, India"
Loudoun County,Ashburn,United States of America,North America,"Ashburn, Virginia"
,Reggio Emilia,Italy,Europe,"Reggio Emilia, Italy"
Tirunelveli,Tirunelveli,India,Asia,"Tirunelveli, India"
,Helsinki,Finland,Europe,"Helsinki, Finland"
Unknown,Unknown,China,Asia,ok
City of London,London,United Kingdom of Great Britain and Northern Ireland,Europe,London
City of Peterborough,Peterborough,United Kingdom of Great Britain and Northern Ireland,Europe,Peterborough...
,Volgograd,Russian Federation,Europe,"Volgograd, Russia"
,,Unknown,Europe,Europe
Unknown,Unknown,Unknown,Unknown,jtang
Milwaukee County,Milwaukee,United States of America,North America,"milwaukee, WI"
,Melbourne,Australia,Australia,Melbourne
Bengaluru Urban,Bengaluru,India,Asia,Bangalore District...
,,United Kingdom of Great Britain and Northern Ireland,Europe,england
Fayette County,Lexington,United States of America,North America,Lexington...
,,Malta,Europe,"Malta, Europe"
Gwynedd,Criccieth,United Kingdom of Great Britain and Northern Ireland,Europe,"Criccieth, United..."
San Diego County,San Diego,United States of America,North America,San Diego...
Perth and Kinross,Perth,United Kingdom of Great Britain and Northern Ireland,Europe,Perth and Kinross...
Cambridgeshire,Cambridge,United Kingdom of Great Britain and Northern Ireland,Europe,"Cambridge, United..."
,,United States of America,North America,Massachusetts
Santa Clara County,Los Gatos,United States of America,North America,"Los Gatos, CA"
Osijek-Baranja County,Čepin,Croatia,Europe,"Cepin, Croatia"
South Staffordshire,Stretton,United Kingdom of Great Britain and Northern Ireland,Europe,"Stretton, United..."
Abu Dhabi Central Capital District,Abu Dhabi,United Arab Emirates,Asia,"Abu Dhabi, United..."
Buckinghamshire,Marlow,United Kingdom of Great Britain and Northern Ireland,Europe,"Marlow, United..."
Cheshire,,United Kingdom of Great Britain and Northern Ireland,Europe,"Cheshire, United..."
,Quezon City,Philippines,Asia,Quezon City...
Howard County,Columbia,United States of America,North America,"Columbia, Maryland"
Santa Cruz County,Watsonville,United States of America,North America,Watsonville...
,,Singapore,Asia,singapore
Cheshire West and Chester,Chester,United Kingdom of Great Britain and Northern Ireland,Europe,"Chester, United..."
Kinta,Ipoh,Malaysia,Asia,"Ipoh, Malaysia"
Hertfordshire,,United Kingdom of Great Britain and Northern Ireland,Europe,Hertfordshire...
,Canberra,Australia,Australia,"Canberra, Australia"
Cook County,Chicago,United States of America,North America,Chicago
Brașov County,Brașov,Romania,Europe,"Brasov, Romania"
Hampden County,Springfield,United States of America,North America,Springfield...
Newcastle upon Tyne,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,newcastle upon tyne
Gwinnett County,Suwanee,United States of America,North America,"Suwanee, Georgia"
Lehigh County,Allentown,United States of America,North America,Allentown...
Shire of Mount Alexander,Maldon,Australia,Australia,"Maldon, Australia"
Worthing Borough,Worthing,United Kingdom of Great Britain and Northern Ireland,Europe,Worthing
Miami-Dade County,Miami Beach,United States of America,North America,"Miami Beach, Florida"
Cumberland County,Brunswick,United States of America,North America,"Brunswick, Maine"
Dallas County,Dallas,United States of America,North America,"Dallas, Texas"
Pune district,Pune,India,Asia,"Pune, India"
,,New Zealand,Australia,nz
,,Russian Federation,Europe,Moscow Oblast...
Lancashire,Chorley,United Kingdom of Great Britain and Northern Ireland,Europe,"Chorley, United..."
,,Netherlands,Europe,Holland
Sermersooq,Ittoqqortoormiit,Denmark,North America,Ittoqqortoormiit...
,Skopje,North Macedonia,Europe,"Skopje, Republic of..."
Alameda County,Fremont,United States of America,North America,"Fremont, California"
Agra,Agra,India,Asia,"Agra, India"
Maui County,,United States of America,North America,"Kihei, Hawaii"
Royal Borough of Kingston upon Thames,London,United Kingdom of Great Britain and Northern Ireland,Europe,"Surbiton, United..."
